Domain Name,Query Type,Count Add RR,Delta Time,Packet Number
 
File: AjoutDeFichiers/imgToDrive.pcapng
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,63
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.005,64
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.001,65
254.211.138.17.in-addr.arpa,12,0,0.996,101
254.211.138.17.in-addr.arpa,12,1,0.0,102
254.211.138.17.in-addr.arpa,12,1,0.013,103
254.211.138.17.in-addr.arpa,12,0,0.0,104
254.211.138.17.in-addr.arpa,12,0,0.004,105
254.211.138.17.in-addr.arpa,12,0,0.0,106
p29-docws.icloud.com,1,1,0.1,111
p29-docws.icloud.com,28,1,0.0,112
p29-docws.icloud.com,1,1,0.0,113
p29-docws.icloud.com,28,1,0.0,114
p29-setup.icloud.com,1,1,0.016,115
p29-setup.icloud.com,28,1,0.0,116
p29-setup.icloud.com,1,1,0.0,117
p29-setup.icloud.com,28,1,0.0,118
p29-docws.icloud.com,28,1,0.037,120
p29-docws.icloud.com,28,1,0.0,122
p29-docws.icloud.com,1,1,0.001,123
p29-docws.icloud.com,1,1,0.0,124
p29-setup.icloud.com,28,1,0.022,128
p29-setup.icloud.com,28,1,0.0,129
p29-setup.icloud.com,1,1,0.004,130
p29-setup.icloud.com,1,1,0.0,131
cvws.icloud-content.com,1,1,0.607,186
cvws.icloud-content.com,28,1,0.0,187
cvws.icloud-content.com,1,1,0.0,188
cvws.icloud-content.com,28,1,0.0,189
cvws.icloud-content.com,28,1,0.045,190
cvws.icloud-content.com,28,1,0.001,191
cvws.icloud-content.com,1,1,0.0,192
cvws.icloud-content.com,1,1,0.0,193
 
File: AjoutDeFichiers/Linux_4G_PdfToDrive.pcapng
 
4.6.a.c.7.7.e.f.f.f.7.b.9.a.8.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,1.231,4
7.7.3.f.5.f.5.9.2.b.e.6.3.c.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.0,5
